"","vec"
"156",40705.0865488403
"157",40422.6754605976
"158",44717.6036363148
"159",46513.9968665697
"160",37584.9312998018
"161",41670.4926983798
"162",36156.0245951762
"163",42536.4299306726
"164",44247.5746020334
"165",47653.1109914447
"166",39444.3924059159
"167",49714.3708824191
"168",38754.6122138605
"169",40678.6776441037
"170",50651.4056516897
"171",30793.0842553435
"172",30856.7185618186
"173",36177.8859807517
"174",48245.0247527916
"175",47372.567232501
"176",40074.4867230309
"177",28958.7083132269
"178",42352.4777426897
"179",53415.6226826546
"180",34528.4953280496
"181",24326.7465405864
"182",38346.1871499061
"183",33778.8563834416
"184",35504.551200909
"185",45208.3655644853
"186",46867.9165498145
"187",29583.1467560415
"188",42428.4976154174
"189",36066.4338002021
"190",49243.9843846813
"191",47837.3863220938
"192",30818.3340818199
"193",45823.8346808113
"194",39207.7170850971
"195",37878.134787363
"196",33334.6077893682
"197",39978.4830154658
"198",45523.9332720393
"199",49733.1186714461
"200",36158.9180018007
"201",53875.4412778196
"202",51667.5067419203
"203",34998.123933668
"204",37456.4965060668
"205",54722.7282574003
"206",33368.5728073805
"207",34156.7879830222
"208",42306.1787977386
"209",53319.3976374391
"210",39256.026510959
"211",45520.925644778
"212",43641.2526363698
"213",59588.1826678573
"214",39886.4983570997
"215",29645.853600653
"216",36932.2858145864
"217",43002.7343279134
"218",45388.5923897589
"219",51925.6613053916
"220",35610.7615571124
"221",34576.0978124858
"222",35921.2943916806
"223",43810.4523329069
"224",46224.6121970647
"225",42696.0073492129
"226",34926.6733599617
"227",31670.7773463692
"228",41103.7010077579
"229",54054.5908549961
"230",40121.774651684
"231",44424.3985643787
"232",37185.2645050995
"233",47607.6698398924
"234",39478.1027422003
"235",54338.3271717644
"236",47329.8424690078
"237",38659.8484863093
"238",28770.550143666
"239",44238.8455764489
"240",37795.9940628398
"241",33673.741506367
"242",47539.8770496081
"243",47917.4295680413
"244",34190.619912474
"245",35282.4535167152
"246",40160.5970946429
"247",43026.3108445169
"248",41824.144871246
"249",32410.4548270223
"250",42105.7473379802
"251",31812.75622897
"252",39035.2373194115
"253",47257.7487585356
"254",48057.6476858624
"255",28465.4250743095
"256",44118.5531826261
"257",40020.5444362438
"258",44323.9018638301
"259",38490.8108481375
"260",42720.0206547822
"261",51361.0901471021
"262",32721.221115261
"263",45162.1102626603
"264",37454.5292174325
"265",36706.6261691588
"266",46142.9703536327
"267",35870.8494679816
"268",45259.4618693314
"269",41371.1278078101
"270",41071.8236785136
"271",45332.5181371378
"272",44905.8246522634
"273",37538.8539441478
"274",42208.8102743192
"275",54851.1515557578
"276",41479.2106978434
"277",36638.2437931747
"278",44588.8991758315
"279",34430.9265148452
"280",37187.2101190431
"281",44961.369026513
"282",44164.1701776956
"283",50795.6231327175
"284",54735.6715360604
"285",49323.4711503468
"286",33293.7266046234
"287",39447.2184963908
"288",46967.5842017689
"289",34390.3118308007
"290",42151.961366502
"291",47566.1997297352
"292",42715.1286311648
"293",39366.293898555
"294",40405.2164553338
"295",37241.0047956383
"296",60257.3965641891
"297",37470.2370004373
"298",49203.7709610576
"299",44721.6686311386
"300",42578.471661545
"301",63392.4632131525
"302",39919.792881431
"303",55079.6195602122
"304",40242.5918577123
"305",43720.2753543762
"306",35042.3932860193
"307",37222.2609580945
"308",37030.2255236387
"309",42937.1278412667
"310",37630.3298339927
"311",36003.4940401678
"312",39462.17682723
"313",49015.8921497681
"314",40890.9552627724
"315",66528.5325228601
"316",37486.8387000887
"317",36030.0980794545
"318",44334.4578939712
"319",38637.4125546347
"320",41492.1721694675
"321",30873.8662781411
"322",41869.9476105931
"323",45397.699796321
"324",36713.041637424
"325",39017.3805618267
"326",28845.2996312479
"327",40598.7534971666
"328",28974.9688560057
"329",32075.4486271348
"330",91186.057666289
"331",41530.7706532414
"332",48190.0812966519
"333",48294.9403840275
"334",32529.9449455649
"335",41212.5838748308
"336",41265.5281932506
"337",47539.6797461864
"338",49463.274665305
"339",43542.9789358315
"340",36917.5792558992
"341",37516.3801020496
"342",44776.0150035553
"343",41897.8928087205
"344",46222.6893455373
"345",41170.5972960692
"346",33287.742969369
"347",28912.9318320296
"348",49217.9569122009
"349",44486.8184862849
"350",36025.9934166816
"351",47741.4191973405
"352",31152.5272549433
"353",45616.3107772102
"354",37939.2759078272
"355",33879.7254325148
"356",38017.9769687057
"357",29235.734798899
"358",48662.1717000771
"359",46140.9482120605
"360",34069.443174269
