"","vec"
"491",32788.1405466372
"492",32461.4355555144
"493",39404.9079612857
"494",27966.1230100918
"495",26404.9592745023
"496",54807.8728600879
"497",28702.383945476
"498",32849.8352776851
"499",27762.1983756454
"500",31084.6389841347
"501",31416.4617212345
"502",24039.3921490888
"503",40555.716198785
"504",30611.4372403321
"505",24266.7971430508
"506",32303.2094305365
"507",26685.484946076
"508",29691.7107459481
"509",30032.3771298257
"510",41609.173768419
"511",37531.1564293821
"512",25798.2351293065
"513",33641.8103512436
"514",32013.1611661148
"515",27067.1691286354
"516",30580.7987633584
"517",33646.7186267335
"518",36257.9340558705
"519",27527.8882414601
"520",24734.2270634197
"521",34712.9808404929
"522",25725.1263530921
"523",30055.5366320382
"524",34016.5936704494
"525",29772.5895817202
"526",28650.0142340883
"527",31642.745036451
"528",39048.6601879649
"529",31562.46155941
"530",32997.6388564813
"531",25800.3382871519
"532",31685.6333278167
"533",21540.5786345753
"534",40299.5211448277
"535",24518.3289448973
"536",22864.1972145947
"537",46251.7070921746
"538",25701.9459207827
"539",30781.9856921418
"540",32482.6832651354
"541",30022.0763452723
"542",23206.5566816467
"543",34332.5690424328
"544",46067.1792177766
"545",33027.4405080392
"546",25465.6407107074
"547",26812.0972714275
"548",38253.1127041461
"549",46566.2297864517
"550",31222.5787343833
"551",29977.5442739847
"552",35151.3071157575
"553",36787.4360000459
"554",32921.684724756
"555",33277.2896948942
"556",26868.7440072227
"557",23776.0770780764
"558",28727.4796185793
"559",22305.9706342056
"560",31466.9024794408
"561",31358.7678074437
"562",30792.7322830328
"563",54925.7946729512
"564",33013.6878496237
"565",27882.0245446499
"566",25755.9683372644
"567",32011.1765639129
"568",17848.9968160587
"569",51438.5472771043
"570",36705.8294105636
"571",30650.1831065122
"572",20731.0816181627
"573",27362.794261627
"574",33344.1092234717
"575",45454.1630817369
"576",27136.2612169551
"577",24402.9804710205
"578",29901.3734406026
"579",25181.7424618077
"580",29351.568551445
"581",28877.9348952365
"582",35483.2925877289
"583",26300.9656731124
"584",30755.9349085896
"585",34147.8988247963
"586",28271.4959798749
"587",37320.9338414052
"588",33036.4717687002
"589",56213.4790145206
"590",27114.0261627585
"591",22826.6305862931
"592",34170.1456676764
"593",31670.5401249992
"594",28867.2662466506
"595",32500.8754982492
"596",28685.3971017967
"597",20645.5294817679
"598",30606.6293616811
"599",25631.8472172977
"600",28050.2442302595
"601",31382.0505636092
"602",39944.3839252902
"603",25328.3482587462
"604",24206.084978206
"605",28329.1837619837
"606",29512.1306144537
"607",35616.5586284537
"608",37141.7292089884
"609",35851.7137725221
"610",24837.885948808
"611",15868.066819655
"612",29696.2812637499
"613",42819.2839670385
"614",44080.0640149362
"615",25091.5041290775
"616",28173.4115940521
"617",25128.421261762
"618",21919.100868066
"619",31880.9952051119
"620",24546.421060593
"621",31867.1124364675
"622",32956.3460245198
"623",26887.8911818125
"624",22553.6731596166
"625",40646.3165093356
"626",35177.5815929306
"627",27167.5973465685
"628",51120.2336271709
"629",30550.5276061846
"630",18206.7590394784
"631",19487.4158287215
"632",39656.9567910141
"633",34204.4191757325
"634",18993.7539669777
"635",43384.3260894407
"636",26578.1401280453
"637",30384.4669664027
"638",35667.4936870158
"639",47309.2400782754
"640",31238.5598742159
"641",29889.3891667202
"642",32777.2592061472
"643",23823.0201445655
"644",41726.5578384796
"645",26129.1698476911
"646",29088.5500785111
"647",21035.5931295944
"648",23416.2978051963
"649",30867.6084029029
"650",48517.3026651961
"651",31602.8730889636
"652",23935.6156727789
"653",42205.6504789039
"654",30578.9940071628
"655",24679.8251321318
"656",20208.2650593032
"657",31598.1993760823
"658",47821.4164988349
"659",31565.617221786
"660",32732.3822121771
"661",21812.4122543069
"662",33425.4957084586
"663",21717.4770192993
"664",32818.8483121627
"665",24960.1007628691
"666",23002.628551939
"667",39141.8693686654
"668",31796.4741979642
"669",31974.7738580396
"670",33881.8692215114
"671",30058.2136652913
"672",23683.5501120178
"673",26235.3079263813
"674",28519.7078747386
"675",37520.7510598989
"676",22962.7337763141
"677",25504.8744128219
"678",36446.3554523855
"679",25057.2413846328
"680",44744.415063941
"681",42472.6952203572
"682",25120.6893760252
"683",29223.1022271367
"684",26100.932307882
"685",59176.7646066579
"686",36878.9040411263
"687",29934.7712809296
"688",28320.2215451673
"689",47655.6597988432
"690",27144.1531671954
"691",35762.9390252742
"692",32039.1067643089
"693",35119.1741620998
"694",41108.9829103994
"695",24923.4783183004
"696",30817.5280072221
"697",25110.157713709
"698",33614.9683103315
"699",24431.4279774053
"700",30350.7403051973
"701",20647.7105495409
"702",33410.5715479423
"703",26680.180877248
"704",23327.3253617
"705",23855.0013313474
"706",43778.3231637597
"707",23066.0642333778
"708",41040.255657023
"709",36159.7305379869
"710",38496.7645620183
"711",33601.8303438691
"712",26214.0281282385
"713",23839.7394134829
"714",45869.4404239781
"715",37359.8605723471
"716",28039.2293104691
"717",25228.4256794603
"718",34791.794813347
"719",38472.7486103219
"720",32744.7696838044
"721",31198.6425008996
"722",32054.8000278035
"723",33877.1875105079
"724",24878.8160945982
"725",26794.0838093992
"726",26498.6554092873
"727",31262.0010579917
"728",30983.7850043662
"729",35421.0363380896
"730",50481.681419675
"731",45197.5716426926
"732",26409.3248617411
"733",32131.4538087453
"734",50936.364895677
"735",26708.9312565196
"736",30116.5201622289
"737",40389.0827222358
"738",26104.7400204091
"739",43645.8535050598
"740",22015.9987210089
"741",38496.0007357271
"742",51809.8814638561
"743",33503.8815858049
"744",40260.0061551671
"745",33557.172181664
"746",29023.7308808801
"747",30614.3376087785
"748",23331.8136448524
"749",33962.8198737774
"750",22640.2986867384
"751",25415.3387392774
"752",27538.5163153152
"753",27469.8167304795
"754",33551.471257314
"755",39885.8755343702
"756",36717.1127893353
"757",36154.7911092403
"758",35640.8209954875
"759",32831.7606144022
"760",31358.1081127857
"761",38654.1225032295
"762",20327.7965807679
"763",29434.5167644565
"764",32188.7062851815
"765",25680.7717285495
"766",29458.8390599716
"767",34704.0341154372
"768",29684.6030344767
"769",43905.0601260573
"770",25537.8834796637
"771",35222.945781108
"772",20062.5950742503
"773",26523.231405086
"774",27449.1585835731
"775",23697.4276340403
"776",40077.9680619926
"777",32362.5435554465
"778",35484.0362020906
"779",25390.0664601782
"780",53341.1544867429
"781",24532.0349242923
"782",30584.9002441061
"783",36098.0983809764
"784",43021.9746618109
"785",14809.0590421245
"786",29238.5359995476
"787",44771.4893441102
"788",26222.303877497
"789",26687.5368271196
"790",39687.9672374953
"791",47098.655529241
"792",23642.1834551395
"793",23184.8115888436
"794",21826.6926137841
"795",31945.1759084633
"796",37073.4895258399
"797",25734.4624012733
"798",25259.0511602225
"799",27911.3265646198
"800",26029.8596422513
"801",20008.2894875837
"802",27209.9852434867
"803",29019.6725422178
"804",26133.8965420904
"805",36599.7611707026
"806",43860.7775167666
"807",36537.9926527123
"808",24348.6230831085
"809",34571.5225500776
"810",40841.5174939481
"811",26551.1894043233
"812",26630.7079824988
"813",39565.8006247714
"814",28232.3884038316
"815",33710.29448794
"816",34025.7320757171
"817",37278.6280386804
"818",32784.6517015483
"819",36393.3493781942
"820",39201.517624493
"821",38864.6541407461
"822",21035.7475931688
"823",26785.0149325827
"824",38820.8412388257
"825",36067.5498182109
"826",35507.2349452941
"827",29709.4049125677
"828",30799.8303505962
"829",30051.1689941005
"830",38713.2175068197
"831",32850.6359087275
"832",28471.1083711536
"833",27590.0479512885
"834",33207.4760003563
"835",27681.1542532996
"836",30616.535988648
"837",31086.9503320984
"838",35392.8366547767
"839",32720.8769054888
"840",42651.3560657723
"841",39861.0840635854
"842",51303.9108549668
"843",28231.4518611707
"844",34944.8145568333
