Index,Reference Paper,Year,Country,Type,Depth,Surface Area,Flow,Hydraulic Residence Time (tau),L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR,,,,,,,,,,,,,
46,,,Estonia,Lake,3.3,2.97E+08,9.31E+08,2.65E+02,2.97E+03,5.35E+03,-2.22E-03,-1.68E-03,1.19E+03,2.08E+03,-2.11E-03,-1.62E-03,1.48E+02,2.41E+02,-1.82E-03,-1.44E-03,6.83E+01,8.91E+01,-1.00E-03,-8.81E-04,,,,,,,,,,,,,
47,,,Estonia,Lake,3,2.90E+08,7.85E+08,2.35E+02,8.69E+02,2.90E+03,-5.13E-03,-2.98E-03,2.90E+02,1.16E+03,-5.90E-03,-3.19E-03,5.21E+01,2.17E+02,-6.08E-03,-3.24E-03,2.90E+01,2.90E+01,0.00E+00,0.00E+00,,,,,,,,,,,,,
48,,,Estonia,Lake,2.7,2.76E+08,6.21E+08,2.57E+02,8.29E+02,2.76E+03,-4.68E-03,-2.72E-03,2.76E+02,2.76E+02,0.00E+00,0.00E+00,3.04E+01,1.91E+02,-7.14E-03,-3.27E-03,1.66E+01,3.04E+01,-2.36E-03,-1.77E-03,,,,,,,,,,,,,
49,,,Estonia,Lake,2.4,2.72E+08,5.29E+08,2.72E+02,8.15E+02,2.17E+03,-3.61E-03,-2.30E-03,2.72E+02,2.72E+02,0.00E+00,0.00E+00,3.80E+01,1.33E+02,-4.61E-03,-2.63E-03,2.45E+01,4.35E+01,-2.12E-03,-1.61E-03,,,,,,,,,,,,,
50,,,Estonia,Lake,2.3,2.61E+08,5.11E+08,3.01E+02,1.31E+03,1.83E+03,-1.12E-03,-9.51E-04,7.84E+02,2.61E+02,3.66E-03,6.66E-03,6.79E+01,1.65E+02,-2.95E-03,-1.95E-03,4.18E+01,4.70E+01,-3.92E-04,-3.70E-04,,,,,,,,,,,,,
51,,,Estonia,Lake,2.2,2.52E+08,4.38E+08,3.47E+02,2.02E+03,1.26E+03,1.35E-03,1.73E-03,1.01E+03,2.52E+02,4.00E-03,8.65E-03,7.82E+01,6.05E+01,7.38E-04,8.41E-04,4.79E+01,1.01E+01,4.49E-03,1.08E-02,,,,,,,,,,,,,
52,,,Estonia,Lake,2.1,2.54E+08,3.65E+08,3.81E+02,1.27E+03,1.02E+03,5.85E-04,6.55E-04,1.02E+03,2.54E+02,3.63E-03,7.87E-03,5.85E+01,4.07E+01,9.51E-04,1.15E-03,3.56E+01,1.02E+01,3.28E-03,6.55E-03,,,,,,,,,,,,,
53,,,Estonia,Lake,2.7,2.86E+08,8.58E+08,3.21E+02,6.00E+03,2.70E+03,2.48E-03,3.80E-03,3.71E+03,8.57E+02,4.56E-03,1.04E-02,1.77E+02,1.29E+02,9.98E-04,1.18E-03,1.11E+02,2.86E+01,4.24E-03,9.03E-03,,,,,,,,,,,,,
54,Mengis et al.,1997,Switzerland,Lake,33,5.20E+06,4.19E+07,1.50E+03,5.95E+02,1.26E+02,1.04E-03,2.48E-03,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Switzerland,Lake,84,3.83E+07,2.27E+08,5.15E+03,9.10E+02,1.15E+02,4.02E-04,1.34E-03,,,,,,,,,,,,,,,,,,,,,,,,,
56,Leavitt et al. ,2006,Canada,Lake,6,2.02E+07,1.73E+08,2.56E+02,3.52E+03,2.07E+03,2.07E-03,2.73E-03,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Canada,Lake,9.8,1.25E+07,1.74E+08,2.56E+02,3.78E+03,1.91E+03,2.68E-03,3.85E-03,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Canada,Lake,8.2,7.70E+06,1.57E+08,1.46E+02,3.54E+03,1.39E+03,6.43E-03,1.07E-02,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Canada,Lake,14.4,1.62E+07,1.79E+08,4.75E+02,5.07E+03,1.00E+03,3.42E-03,8.58E-03,,,,,,,,,,,,,,,,,,,,,,,,,
60,Dillon and Molot ,1990,Canada,Lake,6.2,,-9.99E+02,3.65E+02,,,,,,,1.64E-03,2.24E-03,,,,,,,,,,,,,,,,,,,,,
61,,,Canada,Lake,8.3,,-9.99E+02,1.35E+03,,,,,,,5.28E-04,7.71E-04,,,,,,,,,,,,,,,,,,,,,
62,,,Canada,Lake,3.3,,-9.99E+02,1.10E+02,,,,,,,2.27E-03,2.58E-03,,,,,,,,,,,,,,,,,,,,,
63,,,Canada,Lake,12.2,,-9.99E+02,3.29E+02,,,,,,,1.00E-03,1.18E-03,,,,,,,,,,,,,,,,,,,,,
64,Noges et al ,2005,Estonia,Lake,3.6,1.26E+05,3.40E+05,5.35E+02,5.10E+00,2.59E+00,1.26E-03,1.81E-03,,,,,1.67E-01,1.90E-01,2.37E-03,4.79E-03,,,,,,,,,,,,,,,,,
65,,,Estonia,Lake,,,-9.99E+02,1.80E+01,,,,,,,,,,,1.98E-02,2.38E-02,,,,,,,,,,,,,,,,,
66,,,Estonia,Lake,,,-9.99E+02,2.56E+01,,,,,,,,,,,1.86E-02,2.38E-02,,,,,,,,,,,,,,,,,
67,,,Estonia,Lake,,,-9.99E+02,1.36E+03,,,,,,,,,,,1.28E-03,3.49E-03,,,,,,,,,,,,,,,,,
68,,,Estonia,Lake,,,-9.99E+02,1.72E+03,,,,,,,,,,,1.12E-03,3.43E-03,,,,,,,,,,,,,,,,,
69,Moosmann et al,2006,Switzerland,Lake,87,1.44E+07,4.18E+07,5.58E+03,,,,,,,,,1.75E+01,4.93E+00,2.27E-04,4.59E-04,,,,,,,,,,,,,,,,,
70,,,Switzerland,Lake,87,1.44E+07,4.18E+07,5.58E+03,,,,,,,,,2.44E+01,1.15E+01,1.35E-04,2.01E-04,,,,,,,,,,,,,,,,,
71,,,Switzerland,Lake,66,5.20E+06,4.33E+07,1.46E+03,,,,,,,,,1.51E+01,6.85E+00,5.44E-04,8.31E-04,,,,,,,,,,,,,,,,,
72,,,Switzerland,Lake,66,5.20E+06,4.33E+07,1.46E+03,,,,,,,,,3.07E+01,1.86E+01,3.44E-04,4.47E-04,,,,,,,,,,,,,,,,,
73,,,Switzerland,Lake,47,1.02E+07,7.31E+07,1.42E+03,,,,,,,,,1.75E+01,9.32E+00,2.12E-04,2.47E-04,,,,,,,,,,,,,,,,,
74,,,Switzerland,Lake,47,1.02E+07,7.31E+07,1.42E+03,,,,,,,,,4.00E+01,2.96E+01,4.49E-04,6.29E-04,,,,,,,,,,,,,,,,,
75,,,Switzerland,Lake,35,3.50E+07,2.81E+07,7.67E+02,,,,,,,,,4.66E+00,1.64E+00,6.46E-04,8.35E-04,,,,,,,,,,,,,,,,,
76,,,Switzerland,Lake,35,3.50E+07,2.81E+07,7.67E+02,,,,,,,,,1.86E+01,1.34E+01,1.38E-03,2.46E-03,,,,,,,,,,,,,,,,,
77,,,Switzerland,Lake,32,8.40E+06,1.23E+08,4.38E+02,,,,,,,,,2.96E+01,1.81E+01,1.14E-03,1.48E-03,,,,,,,,,,,,,,,,,
78,,,Switzerland,Lake,32,8.40E+06,1.23E+08,4.38E+02,,,,,,,,,1.17E+02,1.06E+02,2.30E-04,2.42E-04,,,,,,,,,,,,,,,,,
79,Lang et al,1988,Canada,Lake,3.3,1.10E+09,1.67E+11,9.06E+00,,,,,,,,,8.80E+03,7.59E+03,1.64E-02,1.76E-02,,,,,,,,,,,,,,,,,
80,,,Canada,Lake,3.3,1.10E+09,1.67E+11,9.07E+00,,,,,,,,,9.57E+03,9.05E+03,6.07E-03,6.24E-03,,,,,,,,,,,,,,,,,
81,,,Canada,Lake,3.3,1.10E+09,1.67E+11,9.07E+00,,,,,,,,,8.93E+03,7.89E+03,1.37E-02,1.45E-02,,,,,,,,,,,,,,,,,
82,,,Canada,Lake,3.3,1.10E+09,1.65E+11,9.15E+00,,,,,,,,,8.94E+03,7.97E+03,1.25E-02,1.33E-02,,,,,,,,,,,,,,,,,
83,Coveny et al,2005,USA,Lake,1.6,1.35E+08,4.24E+07,1.86E+03,,,,,,,,,,,6.00E-04,1.10E-03,,,,,,,,,,,,,,,,,
84,,,USA,Lake,,,-9.99E+02,1.15E+03,,,,,,,,,,,1.52E-03,4.12E-03,,,,,,,,,,,,,,,,,
85,Kohler et al,2005,Germany,Lake,4.9,7.30E+06,2.02E+08,5.84E+01,8.68E+02,6.91E+02,5.20E-04,4.38E-03,3.76E+02,2.65E+02,5.96E-03,7.13E-03,,,5.38E-04,5.46E-04,,,,,,,,,,,,,,,,,
86,de Anda et al,2001,Mexico,Lake,4.5,1.10E+09,7.94E+08,3.72E+03,,,,,,,,,1.95E+03,1.36E+03,9.67E-05,1.16E-04,1.36E+03,7.14E+02,1.74E-04,2.44E-04,,,,,,,,,,,,,
87,Kilinc et al,2002,England,Lake,4.8,2.55E+05,3.93E+05,1.36E+03,,,,,,,,,6.18E+03,5.48E+03,8.94E-05,9.51E-05,,,,,,,,,,,,,,,,,
88,,,England,Lake,4.8,2.55E+05,2.31E+05,2.29E+03,,,,,,,,,9.77E+03,9.15E+03,2.86E-05,2.96E-05,,,,,,,,,,,,,,,,,
89,Kelderman et al. ,2005,China,Lake,1.9,2.35E+09,1.46E+10,1.37E+02,,,,,,,,,5.32E+03,2.66E+03,5.06E-03,7.30E-03,,,,,,,,,,,,,,,,,
90,,,China,Lake,1.9,2.35E+09,1.66E+10,1.16E+02,,,,,,,,,4.88E+03,2.16E+03,7.02E-03,1.08E-02,,,,,,,,,,,,,,,,,
91,,,China,Lake,1.9,2.35E+09,9.58E+09,1.91E+02,,,,,,,,,4.49E+03,1.23E+03,6.77E-03,1.38E-02,,,,,,,,,,,,,,,,,
92,Gibson et al.,2001,Ireland,Lake,8.9,3.87E+08,2.71E+09,4.65E+02,,,,,,,,,1.39E+03,8.85E+02,9.79E-04,1.24E-03,,,,,,,,,,,,,,,,,
93,Krogerus,2003,Finland,Lake,2.2,3.40E+07,7.28E+07,3.75E+02,,,,,,,,,,,1.15E-03,1.44E-03,,,,,,,,,,,,,,,,,
94,Talling and Parker,2002,England,Lake,2.4,6.10E+05,1.03E+07,7.85E+01,,,,,2.01E+01,1.15E+01,7.15E-03,9.59E-03,4.47E-01,3.01E-01,5.01E-03,6.14E-03,,,,,,,,,,,,,,,,,
95,Beklioglu et al ,1999,England,Lake,0.7,2.80E+04,2.46E+06,2.91E+00,,,,,6.55E+00,2.32E+00,3.57E-01,6.29E-01,2.03E+00,9.34E-01,2.67E-01,4.04E-01,,,,,,,,,,,,,,,,,
96,Muller et al ,2007,Switzerland,Lake,173,2.98E+07,1.99E+09,9.46E+02,,,,,,,,,2.08E+01,3.29E+00,1.95E-03,5.63E-03,,,,,,,,,,,,,,,,,
97,Schernewski,2003,Germany,Lake,26,1.10E+06,3.81E+07,2.74E+02,9.70E+01,8.95E+01,2.95E-04,3.07E-04,,,,,3.44E+00,3.04E+00,4.42E-04,4.70E-04,,,,,,,,,,,,,,,,,
98,Ekholm et al,1997,Finland,Lake,5.4,1.54E+08,1.61E+08,1.10E+03,1.45E+03,9.59E+02,3.79E-04,4.70E-04,9.59E+02,4.93E+01,2.71E-03,1.68E-02,5.48E+01,7.95E+00,1.76E-03,5.38E-03,1.10E+01,3.29E+00,1.10E-03,2.13E-03,,,,,,,,,,,,,
99,,,Finland,Lake,,,-9.99E+02,4.46E+02,,,,,,,,,,,2.80E-03,5.56E-03,,,,,,,,,,,,,,,,,
100,Knuuttila and Kauppi,1994,Finland,Lake,3.2,7.10E+06,-9.99E+02,6.52E+01,1.07E+03,8.95E+02,2.74E-03,3.00E-03,8.17E+02,6.81E+02,2.80E-03,3.07E-03,6.03E+01,4.47E+01,4.58E-03,5.34E-03,,,,,,,,,,,,,,,,,
101,,,Finland,Lake,,,-9.99E+02,2.18E+02,,,,,,,,,,,5.92E-03,1.21E-02,,,,,,,,,,,,,,,,,
102,,,Finland,Lake,2.5,3.00E+05,-9.99E+02,1.60E+02,8.22E+00,4.11E+00,4.32E-03,6.24E-03,3.29E+00,9.86E-01,7.51E-03,1.46E-02,5.34E-01,2.88E-01,3.86E-03,5.35E-03,,,,,,,,,,,,,,,,,
103,Burger et al ,2007,New Zealand,Lake,10.5,7.98E+07,-9.99E+02,5.38E+02,5.20E-01,2.30E-01,1.52E-03,2.35E-03,,,,,3.36E-02,1.68E-02,1.29E-03,1.86E-03,,,,,,,,,,,,,,,,,
104,Noges et al,2003,Estonia,Lake,7.1,3.56E+09,1.54E+10,5.95E+02,,,,,,,,,,,1.81E-03,3.27E-03,,,,,,,,,,,,,,,,,
105,Callender et al ,1997,Russia,Lake,744,3.17E+04,7.67E+07,1.10E+05,,,,,,,,,1.73E+04,3.29E+03,1.51E-05,3.88E-05,,,,,,,,,,,,,,,,,
106,,,Canada,Lake,147,8.21E+10,6.34E+07,6.97E+04,,,,,,,,,1.12E+04,1.10E+03,3.34E-05,1.33E-04,,,,,,,,,,,,,,,,,
107,Solim ,2008,India,Lake,0.9,1.66E+07,1.67E+08,3.38E+01,,,,,,,,,2.27E+02,1.62E+02,1.00E-02,1.19E-02,,,,,,,,,,,,,,,,,
108,,,Greece,Lake,,,-9.99E+02,3.83E+03,,,,,,,,,,,3.89E-04,8.96E-04,,,,,,,,,,,,,,,,,
109,,,Greece,Lake,,,-9.99E+02,4.97E+03,,,,,,,,,,,3.41E-04,8.96E-04,,,,,,,,,,,,,,,,,
110,,,Germany,Lake,,,-9.99E+02,3.52E+03,,,,,,,,,,,5.77E-04,1.88E-03,,,,,,,,,,,,,,,,,
111,,,New Zealand,Lake,,,-9.99E+02,3.48E+03,,,,,,,,,,,7.97E-04,4.32E-03,,,,,,,,,,,,,,,,,
112,,,USA,Lake,,,-9.99E+02,2.06E+02,,,,,,,,,,,5.07E-03,8.94E-03,,,,,,,,,,,,,,,,,
113,,,Japan,Lake,,,-9.99E+02,1.55E+02,,,,,,,,,,,1.47E-02,5.62E-02,,,,,,,,,,,,,,,,,
114,,,China,Lake,,,-9.99E+02,1.35E+03,,,,,,,,,,,7.93E-04,1.42E-03,,,,,,,,,,,,,,,,,
115,Havens and Schelske ,2000,USA,Lake,3,1.80E+09,1.89E+09,1.00E+03,,,,,,,,,,,1.22E-03,2.40E-03,,,,,,,,,,,,,,,,,
116,Kvarnas ,2001,Sweden,Lake,27,5.65E+09,1.56E+10,3.58E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,Sweden,Lake,39.8,1.86E+09,1.32E+09,2.12E+04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,Sweden,Lake,12.8,1.10E+09,5.30E+09,1.02E+03,,,8.03E-04,1.25E-03,,,,,,,1.18E-03,2.28E-03,,,,,,,,,,,,,,,,,
119,,,Sweden,Lake,6.1,4.84E+08,8.51E+08,1.35E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Miranda and Matvienko ,2003,Brazil,Reservoir,3,1.22E+05,4.47E+06,3.00E+01,,,,,,,,,8.93E+00,7.58E+00,0.00E+00,0.00E+00,,,,,,,,,,,,,,,,,
122,Alaoui Mhamdi et al ,2007,Morocco,Reservoir,20,4.30E+06,2.62E+08,8.92E+01,8.28E+01,4.99E+02,-2.01E-02,-9.35E-03,,,,,,,8.34E-03,1.24E-02,,,,,,,,,,,,,,,,,
123,Brigault ,1999,France,Reservoir,33,8.58E+06,7.59E+09,1.39E+01,,,,,,,,,3.32E+02,1.18E+02,7.47E-02,1.31E-01,1.59E+02,4.66E+01,8.86E-02,1.74E-01,,,,,,,,,,,,,
124,,,France,Reservoir,33,8.58E+06,4.37E+09,2.41E+01,,,,,,,,,,,7.66E-03,8.42E-03,,,,,,,,,,,,,,,,,
125,Duras,2001,Czech Republic,Reservoir,2.5,1.04E+06,8.51E+07,1.40E+01,,,,,,,,,7.31E+04,4.24E+04,3.89E-02,5.16E-02,,,,,,,,,,,,,,,,,
126,,,Czech Republic,Reservoir,2.5,1.04E+06,5.05E+07,2.40E+01,,,,,,,,,4.60E+04,3.84E+04,7.52E-03,8.24E-03,,,,,,,,,,,,,,,,,
127,Jossette et al 1998,1998,France,Reservoir,,,2.90E+08,1.93E+02,,,,,3.62E+03,1.62E+03,4.16E-03,6.40E-03,7.40E+01,3.56E+01,3.78E-03,5.57E-03,2.47E+01,5.48E+00,7.78E-03,1.81E-02,,,,,,,,,,,,,
128,,,France,Reservoir,,,5.78E+08,1.39E+02,,,,,7.95E+03,4.05E+03,4.85E-03,6.92E-03,1.73E+02,3.84E+01,1.08E-02,2.52E-02,7.12E+01,1.10E+01,1.35E-02,3.97E-02,,,,,,,,,,,,,
129,,,France,Reservoir,,,4.75E+08,1.68E+02,,,,,5.83E+03,2.77E+03,4.44E-03,6.60E-03,8.77E+01,3.29E+01,5.84E-03,9.93E-03,4.71E+01,1.26E+01,7.85E-03,1.63E-02,,,,,,,,,,,,,
130,,,France,Reservoir,,,1.39E+08,3.03E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,France,Reservoir,,,1.85E+08,2.15E+02,,,,,2.08E+03,9.32E+02,3.74E-03,5.74E-03,2.19E+01,1.10E+01,3.22E-03,4.64E-03,1.07E+01,3.84E+00,4.76E-03,8.29E-03,,,,,,,,,,,,,
132,,,France,Reservoir,,,2.00E+08,1.61E+02,,,,,2.10E+03,9.67E+02,4.82E-03,7.29E-03,2.19E+01,1.64E+01,1.79E-03,2.08E-03,1.26E+01,4.66E+00,6.20E-03,1.06E-02,,,,,,,,,,,,,
